n_cal_seq,alpha,protocol,mean_test_risk,frac_splits_over_alpha,p90_test_risk,frac_degenerate_reject_all
25,0.1,frame_unit,0.09462787878787879,0.27,0.11018181818181819,0.0
25,0.1,seq_unit,0.0626569696969697,0.0,0.0766060606060606,0.0
25,0.2,frame_unit,0.1952230303030303,0.38,0.2157090909090909,0.0
25,0.2,seq_unit,0.16636909090909094,0.02,0.18486060606060606,0.0
25,0.3,frame_unit,0.29328363636363636,0.34,0.32072727272727275,0.0
25,0.3,seq_unit,0.2700066666666667,0.07,0.2966060606060606,0.0
25,0.4,frame_unit,0.39366181818181817,0.41,0.4217090909090909,0.0
25,0.4,seq_unit,0.37368606060606063,0.07,0.39406060606060606,0.0
75,0.1,frame_unit,0.09645185185185184,0.18,0.10577777777777776,0.0
75,0.1,seq_unit,0.0860362962962963,0.0,0.09186666666666667,0.0
75,0.2,frame_unit,0.19604740740740736,0.435,0.20829629629629628,0.0
75,0.2,seq_unit,0.18713555555555555,0.08,0.1965925925925926,0.0
75,0.3,frame_unit,0.2951888888888889,0.32,0.3128888888888889,0.0
75,0.3,seq_unit,0.2868540740740741,0.18,0.3026814814814815,0.0
75,0.4,frame_unit,0.39262074074074077,0.26,0.4088888888888889,0.0
75,0.4,seq_unit,0.38601259259259263,0.07,0.39543703703703703,0.0
150,0.1,frame_unit,0.09656111111111111,0.185,0.10111111111111111,0.0
150,0.1,seq_unit,0.09116222222222221,0.095,0.09799999999999999,0.0
150,0.2,frame_unit,0.1963988888888889,0.43,0.20666666666666667,0.0
150,0.2,seq_unit,0.19210777777777774,0.16,0.20557777777777778,0.0
150,0.3,frame_unit,0.29581111111111114,0.37,0.31111111111111106,0.0
150,0.3,seq_unit,0.2919233333333333,0.235,0.3048888888888889,0.0
150,0.4,frame_unit,0.39300555555555555,0.17,0.4131111111111111,0.0
150,0.4,seq_unit,0.3902222222222222,0.095,0.39979999999999993,0.0
