label	Car3d	CarBEV	Ped3d	PedBEV	Cyc3d	CycBEV	pred/frame
BASELINE_dair_calib	1.83	3.69	43.11	52.96	43.13	50.30	-
REPAIR1_target_recal	0.15	1.05	47.34	59.28	42.15	51.25	-
score_thr_0.05	1.83	3.69	43.11	52.96	43.13	50.30	8.3
score_thr_0.01	-	-	-	-	-	-	-
intensity_const	-	-	-	-	-	-	-
opthr_0.45_target	1.83	3.69	43.11	52.96	43.13	50.30	-
opthr_0.30_target	1.81	3.67	42.99	52.82	44.13	51.41	-
opthr_0.20_target	2.30	4.50	43.25	52.65	43.97	52.29	-
opthr_0.10_target	2.20	5.10	43.25	52.91	44.60	52.03	-
opthr_0.01_target	2.20	5.10	43.25	52.91	44.60	52.03	-
opthr_0.45_source	69.70	70.63	48.87	51.75	57.63	60.66	-
opthr_0.20_source	69.65	70.59	49.97	51.62	58.86	61.87	-
opthr_0.01_source	69.62	72.81	49.88	52.73	58.76	61.76	-
intensity_const	0.23	1.15	19.03	23.08	43.28	48.74	7.0
intensity_x0.5	-	-	-	-	-	-	-
dair_thinned_9508	64.58	65.92	34.79	37.79	46.27	49.28	17.7
dair_thinned_19000	-	-	-	-	-	-	-
blank_camera	0.00	0.00	0.00	0.03	0.00	0.00	2.1
blank_camera_thr02	-	-	-	-	-	-	-
zshift_+1.0	-	-	-	-	-	-	-
q400_z+0.00	1.73	5.05	51.66	51.98	36.92	47.76	7.6
q400_z+0.30	1.39	4.43	45.81	48.18	42.15	49.12	6.9
q400_z+0.50	1.29	4.17	42.25	46.12	44.50	51.58	6.5
q400_z+0.70	1.07	4.35	34.86	40.25	44.00	51.90	6.1
q400_z+1.00	0.80	2.73	22.69	30.82	42.55	53.31	5.9
q400_z+1.50	0.40	1.57	16.76	19.86	32.58	44.66	6.1
q400_z-0.50	2.08	5.34	34.77	39.11	28.91	40.19	9.6
q400_z-1.00	1.01	2.95	29.21	29.21	14.19	20.83	11.0
q400_z-1.50	-	-	-	-	-	-	-
FULL_z-0.50_target	1.32	2.90	33.43	39.10	34.37	41.17	7.6
FULL_z-0.50_source	-	-	-	-	-	-	-
